TO,SS,Note,OldSoundSpel,,Rondthaler,Pronunciation,OtherTO,BritishTO,OtherSS,BritishSS ?,AltSpeling1,AltSpeling2,longNote
amiss,amis,,amis,T,amis,,,,,,,,
amity,amity,,amity,T,amity,,,,,,,,
ammeter,ameeter,,,,ammeeter,,,,,,,,
ammo,amo,,amo,T,amo,,,,,,,,
ammonia,amoenia,,amoenia,T,amoenia,,,,,,,,
ammoniac,amoeniak,,amoeniac,F,amoeniac,,,,,,,,
ammonium,amoenium,,amoenium,T,amoenium,,,,,,,,
ammunition,amuenishon,,amuenishun,F,amuenishun,,,,,,,,
amnesia,amneezha,,amneezha,T,amneezha,,,,,,,,
amnesties,amnestys,,,NA,,,,,,,,,
amnesty,amnesty,,amnesty,T,amnesty,,,,,,,,
amoeba,ameeba,,ameeba,T,ameeba,,,,,,,,
amoebas,ameebas,,,NA,,,,,,,,,
amoebic,ameebik,,,NA,,,,,,,,,
among,amung,,amung,T,amung,,,,,,,,
amongst,amungs,,amungst,F,amungst,,,,,,,,
amoral,aemoral,*,amoral,F,amoral,,,,,,,,
amorality,aemorality,*,amorality,F,amorality,,,,,,,,
amorist,amorist,*,amorist,F,amorist,,,,,,,,
amoritize,amortiez,,,NA,,,,,,,,,
amoritizing,amortiezing,,,NA,,,,,,,,,
amorous,amorus,,amorus,T,amorus,,,,,,,,
amorphous,amorfus,,amorfus,T,amorfus,,,,,,,,
amorphously,amorfusly,,amorfusly,T,amorfusly,,,,,,,,
amortization,amortizaeshon,,amortizaeshun,F,amortizaeshun,,,,,,,,
amount,amount,,amount,T,amount,,,,,,,,
amounted,amounted,,amounted,T,amounted,,,,,,,,
amounting,amounting,,amounting,T,amounting,,,,,,,,
amounts,amounts,,amounts,T,amounts,,,,,,,,
amperage,amperej,,amperej,T,amperej,,,,,,,,
ampere,ampeer,,ampeer,T,ampeer,,,,,,,,
amperes,ampeers,,,NA,,,,,,,,,
ampersand,ampersand,,ampersand,T,ampersand,,,,,,,,
ampersands,ampersands,,,NA,,,,,,,,,
amphetamine,amfetameen,,amfetameen,T,amfetameen,,,,,,,,
amphetamines,amfetameens,,amfetameens,T,amfetameenz,,,,,,,,
amphibian,amfibian,,amfibian,T,amfibian,,,,,,,,
amphibians,amfibians,,,NA,,,,,,,,,
amphibious,amfibius,,amfibius,T,amfibius,,,,,,,,
amphibology,amfibolojy,,amfibolojy,T,amfibolojy,,,,,,,,
amphitheater,amfitheeater,,amfitheeater,T,amfitheeater,,,,,,,,
amphitheaters,amfitheeaters,,,NA,,,,,,,,,
amphora,amfora,,amfora,T,amfora,,,,,,,,
amphoras,amforas,,,NA,,,,,,,,,
ample,ampl,,ampl,T,ampl,,,,,,,,
amplification,amplificaeshon,,amplificaeshun,F,amplificaeshun,,,,,,,,
amplifications,amplificaeshons,,,NA,,,,,,,,,
amplified,amplified,,amplified,T,amplified,,,,,,,,
amplifier,amplifieer,,amplifieer,T,amplifieer,,,,,,,,
amplifiers,amplifieers,,amplifieers,T,amplifieers,,,,,,,,
amplifies,amplifies,,amplifies,T,amplifies,,,,,,,,
amplify,amplifi,,amplifi,T,amplifi,,,,,,,,
amplifying,amplifieing,,amplifieing,T,amplifieing,,,,,,,,
amplitude,amplitued,,amplitued,T,amplitued,,,,,,,,
amplitudes,amplitueds,,,NA,,,,,,,,,
amply,amply,,amply,T,amply,,,,,,,,
amputate,ampuetaet,,ampuetaet,T,ampuetaet,,,,,,,,
amputated,ampuetaeted,,ampuetaeted,T,ampuetaeted,,,,,,,,
amputates,ampuetaets,,,,,,,,,,,,
amputation,ampuetaeshon,,ampuetaeshun,F,ampuetaeshun,,,,,,,,
amputations,ampuetaeshons,,,NA,,,,,,,,,
amputee,ampuetee,,ampuetee,T,ampuetee,,,,,,,,
amputees,ampuetees,,,NA,,,,,,,,,
amulet,amuelet,,amuelet,T,amuelet,,,,,,,,
amulets,amuelets,,amuelets,T,amuelets,,,,,,,,
amuse,amuez,,amuez,T,amuez,,,,,,,,
amused,amuezd,,amuezd,T,amuezd,,,,,,,,
amusedly,amuezedly,,amuezedly,T,amuezedly,,,,,,,,
amusement,amuezment,,amuezment,T,amuezment,,,,,,,,
amusements,amuezments,,amuezments,T,amuezments,,,,,,,,
amuses,amuezes,,,NA,,,,,,,,,
amusing,amuezing,,amuezing,T,amuezing,,,,,,,,
amusingly,amuezingly,,amuezingly,T,amuezingly,,,,,,,,
Amy,Aemy,PN LW,,,,,,,,,,,
Amy's,Aemy's,,,,,,,,,,,,
an,an,,an,T,an,,,,,,,,
anachronism,anacronizm,,,,anacronizm,,,,,,,,
anachronisms,anacronizms,,,,anacronizmz,,,,,,,,
anachronistic,anacronistik,,,,anacronistic,,,,,,,,
anachronistically,anacronistikaly,,,,,,,,,,,,
anaconda,anaconda,,,,anaconda,,,,,,,,
anacondas,anacondas,,,,anacondaz,,,,,,,,
anaerobic,anaeroebik,,,,anaeroebik,,,,,,,,
anaerobically,anaeroebikaly,,,,,,,,,,,,
anaesthesia,anistheezha,,,,anistheezha,,,,,,,,
anaesthetic,anisthetik,,,,,,,,,,,,
anaesthetics,anisthetiks,,,,,,,,,,,,
anagram,anagram,,,,anagram,,,,,,,,
anagrams,anagrams,,,,,,,,,,,,
anal,aenal,,,,,,,,,,,,
analeptic,analeptik,,,,analeptic,,,,,,,,
analeptics,analeptiks,,,,,,,,,,,,
analgesia,analjeezia,,,,analjeezia,,,,,,,,
analgesic,analjeezik,,,,,,,,,,,,
anagesics,analjeeziks,,,,,,,,,,,,
anally,aenaly,,,,,,,,,,,,
analogical,analojikal,,,,analojikal,,,,,,,,
analogically,analojikaly,,,,,,,,,,,,
analogies,analojys,,,,analojys,,,,,,,,
analogous,analogus,,,,analogus,,,,,,,,
analogously,analogusly,,,,analogusly,,,,,,,,
analogue,analog,,,,analog,,,,,,,,
analogues,analogs,,,,analogs,,,,,,,,
analogy,analojy,,,,analojy,,,,,,,,
analysand,analisand,,,,analisand,,,,,,,,
analysands,analisands,,,,,,,,,,,,
analyse,analiez,,,,,,,,,,,,
analysed,analiezd,,,,analiezd,,,,,,,,
analyses,analiezes,,,,analiezez,,,,,,,,
analyses,analisees,,,,,,,,,,,,
analysing,analiezing,,,,,,,,,,,,
analysis,analisis,,,,analisis,,,,,,,,
analyst,analist,,,,analist,,,,,,,,
analysts,analists,,,,analists,,,,,,,,
analytic,analitik,,,,analitic,,,,,,,,
analytical,analitikal,,,,analitical,,,,,,,,
analytically,analitikaly,,,,analiticaly,,,,,,,,
analytrol,analitrol,,,,analitrol,,,,,,,,
analyzable,analiezabl,,,,analiezabl,,,,,,,,
analyzably,analiezably,,,,,,,,,,,,
analyze,analiez,,,,analiez,,,,,,,,
analyzed,analiezd,,,,analiezd,,,,,,,,
analyzer,analiezer,,,,analiezer,,,,,,,,
analyzers,analiezers,,,,,,,,,,,,
analyzes,analiezes,,,,analiezez,,,,,,,,
analyzing,analiezing,,,,analiezing,,,,,,,,
anamorphic,anamorfik,,,,anamorfic,,,,,,,,
anamorphism,anamorfizm,,,,,,,,,,,,
anamorphisms,anamorfizms,,,,,,,,,,,,
anaplasmosis,anaplazmoesis,,,,anaplazmoesis,,,,,,,,
anarchic,anarkik,,,,anarkic,,,,,,,,
anarchical,anarkikal,,,,anarkical,,,,,,,,
anarchically,anarkikaly,,,,,,,,,,,,
anarchism,anerkizm,,,,anerkizm,,,,,,,,
anarchist,anerkist,,,,anerkist,,,,,,,,
anarchistic,anerkistik,,,,anerkistic,,,,,,,,
anarchists,anerkists,,,,,,,,,,,,
anarchy,anerky,,,,anerky,,,,,,,,
anastigmatic,anastigmatik,,,,anastigmatic,,,,,,,,
anathema,anathema,,,,anathema,,,,,,,,
anathemas,anathemas,,,,,,,,,,,,
anathematic,anathematik,,,,,,,,,,,,
anathematical,anathematikal,,,,,,,,,,,,
anathematically,anathematikaly,,,,,,,,,,,,
anathematize,anathematiez,,,,,,,,,,,,
anathematized,anathematiezd,,,,,,,,,,,,
anathematizes,anathematiezes,,,,,,,,,,,,
anathematizing,anathematiezing,,,,,,,,,,,,
anathematization,anathematizaeshon,,,,,,,,,,,,
anatomic,anatomik,,,,anatomic,,,,,,,,
anatomical,anatomikal,,,,anatomical,,,,,,,,
anatomically,anatomikaly,,,,anatomicaly,,,,,,,,
anatomicals,anatomikals,,,,anatomicals,,,,,,,,
anatomies,anatomys,,,,,,,,,,,,
anatomist,anatomist,,,,anatomist,,,,,,,,
anatomists,anotimists,,,,,,,,,,,,
anatomize,anatomiez,,,,anatomiez,,,,,,,,
anatomized,anatomiezd,,,,,,,,,,,,
anatomizes,anatomiezes,,,,,,,,,,,,
anatomizing,anatomiezing,,,,,,,,,,,,
anatomy,anatomy,,,,,,,,,,,,
ancestor,ansestor,,ansestor,T,ansestor,,,,,,,,
ancestors,ansestors,,ansestors,T,ansestorz,,,,,,,,
ancestral,ansestral,,ansestral,T,ansestral,,,,,,,,
ancestrally,ansestraly,,,NA,,,,,,,,,
ancestry,ansestry,,,,ansestry,,,,,,,,
anchor,ancor,,ankor,F,ankor,,,,,,,,
anchorage,ancorej,,,,ankorej,,,,,,,,
anchored,ancord,,ankord,F,ankord,,,,,,,,
anchoring,ancoring,,ankoring,F,ankoring,,,,,,,,
anchorite,ancoriet,,ankoriet,F,ankoriet,,,,,,,,
anchorites,ancoriets,,,NA,,,,,,,,,
anchoritism,ancoritizm,,,,ancoritizm,,,,,,,,
anchorman,ancorman,,,NA,,,,,,,,,
anchormen,ancormen,,,NA,,,,,,,,,
anchors,ancors,,ankors,F,ankors,,,,,,,,
anchovies,anchoevys,,,,anchoevys,,,,,,,,
anchovy,anchoevy,,,,anchoevy,,,,,,,,
ancient,aenshent,,,,aenshent,,,,,,,,
anciently,aenshently,,,,aenshently,,,,,,,,
ancients,aenshents,,,,aenshents,,,,,,,,
ancillary,ansilaery,,,,ansilery,,,,,ansilery,,,
and,and,,and,T,and,,,,,,,,
andiron,andiern,,,,andiern,,,,,,,,
andirons,andierns,,,,,,,,,,,,
androgen,androjen,,,NA,,,,,,,,,
androgens,androjens,,,NA,,,,,,,,,
androgynous,androjinus,,,NA,,,,,,,,,
android,android,,,,,,,,,,,,
androids,androids,,,,,,,,,,,,
Andy,Andy,,,NA,,,,,,,,,
anecdotal,anekdoetal,,anecdoetal,F,anecdoetal,,,,,,,,
anecdotally,anekdoetaly,,,NA,,,,,,,,,
anecdote,anekdoet,,anecdoet,F,anecdoet,,,,,,,,
anecdotes,anekdoets,,anecdoets,F,anecdoets,,,,,,,,
anemia,aneemia,,,,aneemia,,,,,,,,
anemic,aneemik,,,,aneemic,,,,,,,,
anemically,aneemikaly,,,,,,,,,,,,
anemometer,anemometer,,,,anemometer,,,,,,,,
anemometers,anemometers,,,,,,,,,,,,
anemone,anemony,,,,anemony,,,,,,,,
anemones,anemonys,,,,,,,,,,,,
aneroid,aneroid,,,,aneroid,,,,,,,,
anesthesia,anestheezha,,,,anestheezha,,,,,,,,
anesthesiologist,anestheeziolojist,,,,anestheezyolojist,,,,,,,,
anesthesiologists,anestheeziolojists,,,,,,,,,,,,
anesthesiology,anestheeziolojy,,,,,,,,,,,,
anesthetic,anesthetik,,,,anesthetic,,,,,,,,
anesthetically,anesthetikaly,,,,anestheticaly,,,,,,,,
anesthetics,anesthetiks,,,,anesthetics,,,,,,,,
anesthetist,anethestist,,,,anesthetist,,,,,,,,
anesthetists,anethestists,,,,anesthetiez,,,,,,,,
anesthetize,anesthetiez,,,,anesthetiezd,,,,,,,,
anesthetized,anesthetiezd,,,,,,,,,,,,
anesthetizes,anesthetiezes,,,,,,,,,,,,
anesthetizing,anesthetiezing,,,,,,,,,,,,
anew,anue,,,,anue,,,,,,,,
angel,aenjel,,aenjel,T,aenjel,,,,,,,,
angelfish,aenjelfish,,,,aenjelfish,,,,,,,,
angelic,anjelik,,anjelic,F,anjelic,,,,,,,,
angelical,anjelikal,,,NA,,,,,,,,,
angelically,anjelikaly,,,NA,,,,,,,,,
angels,aenjels,,aenjels,T,aenjels,,,,,,,,
anger,angger,,angger,T,angger,,,,,,,,
angered,anggerd,,anggerd,T,anggerd,,,,,,,,
angering,anggering,,,NA,,,,,,,,,
angers,anggers,,,NA,,,,,,,,,
angina,anjiena,,,,anjiena,,,,,,,,
angle,anggl,,,,anggl,,,,,,,,
angled,anggld,,,,,,,,,,,,
angler,anggler,,,,anggler,,,,,,,,
anglers,angglers,,,,,,,,,,,,
angles,anggls,,,,anggls,,,,,,,,
angleworm,angglwurm,,,,angglwurm,,,,,,,,
angleworms,angglwurms,,,,,,,,,,,,
angling,anggling,,,,anggling,,,,,,,,
angora,anggora,,,NA,,,,,,,,,
angoras,anggoras,,,NA,,,,,,,,,
angrier,anggryer,,,NA,,,,,,,,,
angriest,anggryest,,anggryest,T,anggryest,,,,,,,,
angrily,anggrily,,anggrily,T,anggrily,,,,,,,,
angry,anggry,,anggry,T,anggry,,,,,,,,
angst,asgst,,,,asgst,,,,,,,,
angstrom,angstrom,,,,,,,,,,,,
angstroms,angstroms,,,,,,,,,,,,
anguish,anggwish,,,,anggwish,,,,,,,,
anguished,anggwisht,,,,anggwisht,,,,,,,,
anguishes,anggwishes,,,,,,,,,,,,
anguishing,anggwishing,,,,,,,,,,,,
angular,angguelar,,,,angguelar,,,,,,,,
angularities,angguelarritys,,,,,,,,,,,,
angularity,angguelarrity,,,,angguelarrity,,,,,,,,
anhydrous,anhiedrus,,,,anhiedrus,,,,,,,,
anhydrously,anhiedrusly,,,,anhiedrusly,,,,,,,,
aniline,anilin,,,,anilin,,,,,,,,
animal,animal,,animal,T,animal,,,,,,,,
animals,animals,,animals,T,animalz,,,,,,,,
animate,animaet,,animaet,T,animaet,,,,,,,,
animated,animaeted,,animaeted,T,animaeted,,,,,,,,
animatedly,animaetedly,,animaetedly,T,animaetedly,,,,,,,,
animates,animaets,,,NA,,,,,,,,,
animating,animaeting,,,NA,,,,,,,,,
animation,animaeshon,,animaeshun,F,animaeshun,,,,,,,,
animations,animaeshons,,,NA,,,,,,,,,
animism,animizm,,animizm,T,animizm,,,,,,,,
animist,animist,,,,,,,,,,,,
animists,animists,,,,,,,,,,,,
animize,animiez,,,NA,,,,,,,,,
animized,animiezd,,animiezd,T,animiezd,,,,,,,,
animizes,animiezes,,,NA,,,,,,,,,
animizing,animiezing,,,NA,,,,,,,,,
animosities,animositys,,,NA,,,,,,,,,
animosity,animosity,,animosity,T,animosity,,,,,,,,
animus,asimus,,animus,F,animus,,,,,,,,
anion,anieon,,anieon,T,anieon,,,,,,,,
anionic,anieonik,,anieonic,F,anieonic,,,,,,,,
anionics,anieoniks,,anieonics,F,anieonics,,,,,,,,
anions,anieons,,anieons,T,anieonz,,,,,,,,
anise,anis,,anis,T,anis,,,,,,,,
aniseed,aniseed,,aniseed,T,aniseed,,,,,,,,
aniseeds,aniseeds,,,NA,,,,,,,,,
aniseikonia,anisiecoenia,,,,anisiekoenia,,,,,,,,
aniseikonic,anisiecoenik,,,,anisiekoenic,,,,,,,,
anisette,aniset,,,,aniset,,,,,,,,
anisotropic,aniesotropik,,,,aniesotropic,,,,,,,,
anisotropy,aniesotropy,,,,aniesotropy,,,,,,,,
ankle,ankl,,ankl,T,ankl,,,,,,,,
anklebone,anklboen,,anklboen,T,anklboen,,,,,,,,
anklebones,anklboens,,,NA,,,,,,,,,
ankles,ankls,,ankls,T,ankls,,,,,,,,
anklet,anklet,,anklet,T,anklet,,,,,,,,
anklets,anklets,,,NA,,,,,,,,,
annalist,analist,,analist,T,analist,,,,,,,,
annalists,analists,,,NA,,,,,,,,,
annals,anals,,anals,T,analz,,,,,,,,
anneal,aneel,,aneel,T,aneel,,,,,,,,
annealed,aneeld,,,NA,,,,,,,,,
anneales,aneels,,,NA,,,,,,,,,
annealing,aneeling,,,NA,,,,,,,,,
anneals,aneels,,,NA,,,,,,,,,
annex,anex,,anex,T,anex,,,,,,,,
annexation,anexsaeshon,*,anexaeshun,F,anexsaeshun,,,,,,,,"""typical"" suffixes such as ation/aeshon never voice a preceding x, so there is no need for xs"
annexations,anexsaeshons,*,,NA,,,,,,,,,
annexed,anext,,,NA,,,,,,,,,
annexes,anexes,*,,NA,,,,,,,,,
annexing,anexing,*,,NA,,,,,,,,,
Annie,Any,,,,,,,,,,,,
annihilate,anieilaet,,anieilaet,T,anieilaet,,,,,,,,
annihilated,anieilaeted,,,NA,,,,,,,,,
annihilates,anieilaets,,,NA,,,,,,,,,
annihilating,anieilaeting,,,NA,,,,,,,,,
annihilation,anieilaeshon,,anieilaeshun,F,anieilaeshun,,,,,,,,
annihilations,anieilaeshons,,,NA,,,,,,,,,
annihilator,anieilaetor,,anieilaetor,T,anieilaetor,,,,,,,,
annihilators,anieilaetors,,,NA,,,,,,,,,
anniversaries,anivurserys,*,aniversarys,F,anivurseryz,,,,,,,,
anniversary,anivursery,*,,,anivursery,,,,,,,,
annotate,anoetaet,,anoetaet,T,anoetaet,,,,,,,,
annotated,anoetaeted,,,NA,,,,,,,,,
annotates,anoetaets,,,NA,,,,,,,,,
annotating,anoetaeting,,,NA,,,,,,,,,
annotation,anoetaeshon,,anoetaeshun,F,anoetaeshun,,,,,,,,
annotations,anoetaeshons,,,NA,,,,,,,,,
annotator,anoetaetor,,,NA,,,,,,,,,
annotators,anoetaetors,,,NA,,,,,,,,,
announce,anounss,,anouns,F,anouns,,,,,,,,
announced,anounst,,anounst,T,anounst,,,,,,,,
announcement,anounsment,,anounsment,T,anounsment,,,,,,,,
announcements,anounsments,,anounsments,T,anounsments,,,,,,,,
announcer,anounser,,anounser,T,anounser,,,,,,,,
announcers,anounsers,,anounsers,T,anounserz,,,,,,,,
announces,anounses,,anounses,T,anounsez,,,,,,,,
announcing,anounsing,,anounsing,T,anounsing,,,,,,,,
annoy,anoy,*,anoy,T,anoy,,,,,,,,
annoyance,anoyanss,*,anoyans,F,anoians,,,,,,,,
annoyances,anoyanses,*,anoyanses,T,anoiansez,,,,,,,,
annoyed,anoyd,*,anoyd,T,anoid,,,,,,,,
annoying,anoying,*,anoying,T,anoiing,,,,,,,,
annoyingly,anoyingly,*,,NA,,,,,,,,,
annoys,anoys,*,anoys,T,anoyz,,,,,,,,
annual,anueal,,anueal,T,anueal,,,,,,,,
annually,anuealy,,anuealy,T,anuealy,,,,,,,,
annuitant,anooitant,,,,anooitant,,,,,,,,
annuitants,anooitants,,,,,,,,,,,,
annuities,anooitys,,,,,,,,,,,,
annuity,anooity,,,,anooity,,,,,,,,
annul,anul,,,,anul,,,,,,,,
annular,anuelar,,,,anuelar,,,,,,,,
annulled,anuld,,,,anuld,,,,,,,,
annulling,anuling,,,,anuling,,,,,,,,
annulment,anulment,,,,anulment,,,,,,,,
annulments,anulments,,,,,,,,,,,,
annuls,anuls,,,,,,,,,,,,
annum,anum,,,,anum,,,,,,,,
annunciate,anunsiaet,,,,anunsyaet,,,,,,,,
annunciated,anunsiaeted,,,,anunsyaeted,,,,,,,,
annunciates,anunsiaets,,,,,,,,,,,,
annunciating,anunsiaeting,,,,,,,,,,,,
annunciation,anunsiaeshon,,,,anunsyaeshun,,,,,,,,
annunciations,anunsiaeshons,,,,,,,,,,,,
annunciator,anunsiaetor,,,,anunsyaetor,,,,,,,,
annunciators,anunsiaetors,,,,,,,,,,,,
anode,anoed,,,,anoed,,,,,,,,
anodes,anoeds,,,,anoedz,,,,,,,,
anodize,anodiez,,,,anodiez,,,,,,,,
anodized,anodiezd,,,,,,,,,,,,
anodizes,anodiezes,,,,,,,,,,,,
anodizing,anodiezing,,,,,,,,,,,,
anodyne,anodien,,,,anodien,,,,,,,,
anoint,anoint,,anoint,T,anoint,,,,,,,,
anointed,anointed,,,NA,,,,,,,,,
anointing,anointing,,,NA,,,,,,,,,
anoints,anoints,,,NA,,,,,,,,,
anomalies,anomalys,,,,anomalyz,,,,,,,,
anomalous,anomalus,,,,anomalus,,,,,,,,
anomalously,anomalusly,,,,,,,,,,,,
anomaly,anomaly,,,,anomaly,,,,,,,,
anomic,anomik,,,,anomic,,,,,,,,
anomically,anomikaly,,,,,,,,,,,,
anomie,anomy,*,,,anomee,,,,,,,,
anonymities,anonimitys,,,,,,,,,,,,
anonymity,anonimity,,,,anonimity,,,,,,,,
anonymous,anonimus,,,,anonimus,,,,,,,,
anonymously,anonimusly,,,,,,,,,,,,
anorthic,anorthik,,,,anorthic,,,,,,,,
another,anuther,,anuther,T,anuther,,,,,,,,
anothers,anuthers,,,,anutherz,,,,,,,,
another’s,anuther’s,,,NA,,,,,,,,,
answer,anser,,anser,T,anser,,,,,,,,
answerable,anserabl,,anserabl,T,anserabl,,,,,,,,
answerably,anserably,,,NA,,,,,,,,,
answered,anserd,,anserd,T,anserd,,,,,,,,
answering,ansering,,ansering,T,ansering,,,,,,,,
answers,ansers,,ansers,T,anserz,,,,,,,,
ant,ant,,ant,T,ant,,,,,,,,
antacid,antasid,,antasid,T,antasid,,,,,,,,
antacids,antasids,,,NA,,,,,,,,,
antagonism,antagonizm,,antagonizm,T,antagonizm,,,,,,,,
antagonisms,antagonizms,,antagonizms,T,antagonizmz,,,,,,,,
antagonist,antagonist,,antagonist,T,antagonist,,,,,,,,
antagonistic,antagonistik,,antagonistic,F,antagonistic,,,,,,,,
antagonistically,antagonistikaly,,,NA,,,,,,,,,
antagonists,antagonists,,antagonists,T,antagonists,,,,,,,,
antagonize,antagoniez,,antagoniez,T,antagoniez,,,,,,,,
antagonized,antagoniezd,,antagoniezd,T,antagoniezd,,,,,,,,
antagonizer,antagoniezer,,,,,,,,,,,,
antagonizers,antagoniezers,,,,,,,,,,,,
antagonizes,antagoniezes,,,NA,,,,,,,,,
antagonizing,antagoniezing,,,NA,,,,,,,,,
ante,anty,,,,ante,,,,,,,,
anteater,anteeter,,,NA,,,,,,,,,
anteaters,anteeters,,,NA,,,,,,,,,
antebellum,antybelum,*,,,antybelum,,,,,,,,"I am exsepshonaly prezurving Rondthaler's uess of th y in anty [ante] becauz anty [ante] is aulso a ""standaloen"" wurd, and this preefix is faerly comom. Utherwiez, I wuud hav uezd i in plaesss of y heer."
antecedent,antyseedent,,,,antyseedent,,,,,,,,
antecedents,antyseedents,,,,antyseedents,,,,,,,,
antechamber,antychaember,,,,antychaember,,,,,,,,
antechambers,antychaembers,,,,,,,,,,,,
antedate,antydaet,,antydaet,F,antydaet,,,,,,,,
antedated,antydaeted,,,NA,,,,,,,,,
antedates,antidaets,,,NA,,,,,,,,,
antedating,antydaeting,,,NA,,,,,,,,,
antediluvian,antydiloovian,,antydiloovian,F,antydiloovian,,,,,,,,
antediluvians,antydiloovians,,,NA,,,,,,,,,
antefix,antyfix,,,NA,,,,,,,,,
antelope,anteloep,,anteloep,T,anteloep,,,,,,,,
antelopes,anteloeps,,,NA,,,,,,,,,
antemeridian,antymeridian,,,NA,,,,,,,,,
antemortem,antymortem,*,,NA,,,,,,,,,
antenatal,antynaetal,,,NA,,,,,,,,,
antenatally,antynaetaly,*,,NA,,,,,,,,,
antenna,antena,,antena,T,antena,,,,,,,,
antennae,antenee,,antenee,F,antenee,,,,,,,,
antennal,antenal,,,NA,,,,,,,,,
antennas,antenas,,antenas,T,antenas,,,,,,,,
antennule,antenuel,*,,NA,,,,,,,,,
antennules,antenuels,,,NA,,,,,,,,,
antependia,anty-pendia,,,NA,,,,,,,,,
antependium,antypendium,,,NA,,,,,,,,,
antepenult,antypeenult,,antypeenult,F,antypeenult,,,,,,,,
antepenultimate,antypenultimat,,,NA,,,,,,,,,
anterior,anteerior,,anteerior,T,anteerior,,,,,,,,
anteriors,anteeriors,,,,anteeriorz,,,,,,,,
anteroom,antyroom,,antyroom,T,antyroom,,,,,,,,
anterooms,antyrooms,,,NA,,,,,,,,,
anthelia,ant-heelia,,,NA,,,,,,,,,
anthelion,ant-heelion,*,,NA,,,,,,,,,
anthelions,ant-heelions,,,NA,,,,,,,,,
anthelminthic,ant-helminthik,*,,NA,,,,,,,,,
anthem,anthem,,anthem,T,anthem,,,,,,,,
anthemia,antheemia,,,NA,,,,,,,,,
anthemion,antheemion,,,NA,,,,,,,,,
anthems,anthems,,anthems,T,anthemz,,,,,,,,
anther,anther,,anther,T,anther,,,,,,,,
antheridia,antheridia,,,NA,,,,,,,,,
antheridial,antheridial,*,,NA,,,,,,,,,
antheridium,antheridium,*,,NA,,,,,,,,,
antherozoid,antherozoid,*,,NA,,,,,,,,,
anthers,anthers,,,NA,,,,,,,,,
antheses,antheesys,*,,NA,,,,,,,,,
anthesis,antheesis,*,,NA,,,,,,,,,
anthill,ant-hil,,,NA,,,,,,,,,
anthills,ant-hils,,,NA,,,,,,,,,
anthocyan,anthosiean,*,,NA,,,,,,,,,
anthocyanin,anthosieanin,*,,NA,,,,,,,,,
anthological,antholojikal,,,NA,,,,,,,,,
anthologies,antholojys,,,NA,,,,,,,,,
anthologist,antholojist,,,NA,,,,,,,,,
anthologists,antholojists,,,NA,,,,,,,,,
anthologize,antholojiez,,,NA,,,,,,,,,
anthologized,antholojiezd,,,NA,,,,,,,,,
anthologizer,antholojiezer,*,,NA,,,,,,,,,
anthologizers,antholojiezers,*,,NA,,,,,,,,,
anthologizes,antholojiezes,,,NA,,,,,,,,,
anthologizing,antholojiezing,,,NA,,,,,,,,,
anthology,antholojy,,antholojy,T,antholojy,,,,,,,,
anthophilous,anthofilus,,,NA,,,,,,,,,
anthozoan,anthozoean,*,,NA,,,,,,,,,
anthozoic,anthozoeik,*,,NA,,,,,,,,,
anthracene,anthraseen,*,,NA,,,,,,,,,
anthraces,anthrasys,,,NA,,,,,,,,,
anthracite,anthrasiet,,anthrasiet,T,anthrasiet,,,,,,,,
anthracites,anthrasiets,,,NA,,,,,,,,,
anthracitic,anthrasitik,,,NA,,,,,,,,,
anthracnose,anthraknoess,,,NA,,,,,,,,,
anthracosis,anthracoesis,*,,NA,,,,,,,,,
anthraquinone,anthraqinoen,*,,NA,,,,,,,,,
anthrax,anthrax,,anthrax,T,anthrax,,,,,,,,
anthrop,anthrop,,,NA,,,,,,,,,
anthropic,anthropik,*,,NA,,,,,,,,,
anthropical,anthropikal,*,,NA,,,,,,,,,
anthropoid,anthropoid,,anthropoid,T,anthropoid,,,,,,,,
anthropoids,anthropoids,,,NA,,,,,,,,,
anthropological,anthropolojikal,,,,anthropolojical,,,,,,,,
anthropologically,anthropolojikaly,,,,,,,,,,,,
anthropologist,anthropolojist,,,,,,,,,,,,
anthropologists,anthropolojists,,,,anthropolojists,,,,,,,,
anthropology,antropolojy,,,,antropolojy,,,,,,,,
anthropomorphic,anthropomorfik,,,,anthropomorfic,,,,,,,,
anti,anti,,anty,F,anty,,,,,,,,
antiaircraft,antyaercraft,,antyaircraft,F,antyaircraft,,,,,,,,
antibiotic,antybieotik,,,,antybieotic,,,,,,,,
antibiotics,antybieotiks,,,,antybieotics,,,,,,,,
antibodies,antibodys,,,,antibodyz,,,,,,,,
antibody,antybody,,,,antybody,,,,,,,,
antic,antik,,antic,F,antic,,,,,,,,
anticipate,antisipaet,,antisipaet,T,antisipaet,,,,,,,,
anticipated,antisipaeted,,antisipaeted,T,antisipaeted,,,,,,,,
anticipates,antisipaets,,antisipaets,T,antisipaets,,,,,,,,
anticipating,antisipaeting,,antisipaeting,T,antisipaeting,,,,,,,,
anticipation,antisipaeshon,,antisipaeshun,F,antisipaeshun,,,,,,,,
anticipations,antisipaeshons,,antisipaeshuns,F,antisipaeshunz,,,,,,,,
anticipative,antisipaetiv,,,,antisipaetiv,,,,,,,,
anticipatory,antisipatory,,antisipatory,T,antisipatory,,,,,,,,
anticlimactic,antycliemaktik,,,,antycliemactic,,,,,,,,
anticlimax,antycliemax,,,,antycliemax,,,,,,,,
antics,antiks,,antics,F,antics,,,,,,,,
